
Count: 0  Balance: 158.15299999999982  Reward: -878.9900000000001  Higest ballance 158.3329999999998  Max_lose: -3.9849999999999994  Max_profit: 26.985  Number of losses: 41  Number of wins: 58
Count: 0  Balance: 92.06399999999991  Reward: -158.18600000000106  Higest ballance 105.02599999999997  Max_lose: -28.009000000000015  Max_profit: 13.008999999999986  Number of losses: 46  Number of wins: 47
Count: 0  Balance: 125.34400000000015  Reward: -816.7369999999999  Higest ballance 168.19200000000012  Max_lose: -20.99800000000002  Max_profit: 27.99399999999997  Number of losses: 56  Number of wins: 79
Count: 0  Balance: -6.1629999999998795  Reward: -282.2339999999999  Higest ballance 103.90600000000012  Max_lose: -27.98899999999999  Max_profit: 1.0040000000000049  Number of losses: 43  Number of wins: 44
Count: 1  Balance: 105.05700000000006  Reward: -1182.0320000000002  Higest ballance 106.04800000000004  Max_lose: -1.0100000000000051  Max_profit: 4.001000000000005  Number of losses: 26  Number of wins: 37
Count: 0  Balance: 50.99800000000017  Reward: -924.0789999999997  Higest ballance 108.94300000000014  Max_lose: -26.988999999999997  Max_profit: 27.003999999999984  Number of losses: 62  Number of wins: 72
Count: 1  Balance: 101.00499999999997  Reward: -1416.9990000000003  Higest ballance 101.00499999999997  Max_lose: -0.016000000000019554  Max_profit: 1.0019999999999953  Number of losses: 2  Number of wins: 3
Count: 2  Balance: 70.993  Reward: -1447.0069999999998  Higest ballance 100.02600000000001  Max_lose: -27.998999999999995  Max_profit: 0.02600000000001046  Number of losses: 7  Number of wins: 1
Count: 3  Balance: 135.04000000000008  Reward: -1356.9519999999998  Higest ballance 135.04100000000008  Max_lose: -0.0010000000000047748  Max_profit: 26.98700000000001  Number of losses: 1  Number of wins: 8
Count: 4  Balance: 101.13600000000002  Reward: -1400.807  Higest ballance 101.14500000000001  Max_lose: -0.00899999999998613  Max_profit: 1.0020000000000095  Number of losses: 1  Number of wins: 8
Count: 5  Balance: 101.98099999999995  Reward: -1407.0190000000002  Higest ballance 101.98299999999996  Max_lose: -0.014000000000010004  Max_profit: 1.9969999999999999  Number of losses: 5  Number of wins: 3
Count: 6  Balance: 99.98099999999995  Reward: -1405.0190000000002  Higest ballance 100  Max_lose: -0.019000000000019668  Max_profit: 0.00899999999998613  Number of losses: 5  Number of wins: 5
Count: 7  Balance: 99.99200000000002  Reward: -1424.0079999999998  Higest ballance 100  Max_lose: -0.014999999999986358  Max_profit: 0.006000000000000227  Number of losses: 2  Number of wins: 2
Count: 0  Balance: 69.95000000000002  Reward: -874.0037  Higest ballance 101.07300000000002  Max_lose: -27.990999999999985  Max_profit: 13.003999999999976  Number of losses: 66  Number of wins: 62
Count: 1  Balance: 101.97699999999999  Reward: -1405.035  Higest ballance 102.014  Max_lose: -0.025000000000005684  Max_profit: 0.9990000000000236  Number of losses: 3  Number of wins: 6
Count: 2  Balance: 99.01000000000003  Reward: -1408.99  Higest ballance 100.03000000000003  Max_lose: -1.0010000000000048  Max_profit: 0.023000000000024556  Number of losses: 3  Number of wins: 3
Count: 3  Balance: 125.999  Reward: -1382.0009999999997  Higest ballance 126.98700000000001  Max_lose: -0.992999999999995  Max_profit: 26.98700000000001  Number of losses: 5  Number of wins: 3
Count: 4  Balance: 101.02999999999996  Reward: -1416.9720000000002  Higest ballance 101.04499999999997  Max_lose: -0.01500000000001478  Max_profit: 0.9979999999999905  Number of losses: 2  Number of wins: 4
Count: 5  Balance: 99.99700000000001  Reward: -1419.0030000000002  Higest ballance 100.01  Max_lose: -0.007999999999981355  Max_profit: 0.010000000000005116  Number of losses: 4  Number of wins: 1
Count: 6  Balance: 99.975  Reward: -1415.025  Higest ballance 100  Max_lose: -0.012000000000014666  Max_profit: 0.007000000000005002  Number of losses: 4  Number of wins: 2
Count: 7  Balance: 99.95599999999999  Reward: -1416.044  Higest ballance 100  Max_lose: -0.028000000000005798  Max_profit: 0.006000000000000227  Number of losses: 3  Number of wins: 3
Count: 8  Balance: 101.05300000000001  Reward: -1416.947  Higest ballance 101.05300000000001  Max_lose: -0.02200000000000557  Max_profit: 1.0010000000000048  Number of losses: 1  Number of wins: 6
Count: 9  Balance: 100.99399999999999  Reward: -1410.006  Higest ballance 101.00099999999999  Max_lose: -0.021000000000000796  Max_profit: 1.0019999999999953  Number of losses: 3  Number of wins: 4
Count: 10  Balance: 98.00499999999998  Reward: -1393.9960999999998  Higest ballance 101.01500000000003  Max_lose: -1.0030000000000001  Max_profit: 0.9990000000000236  Number of losses: 6  Number of wins: 5
Count: 11  Balance: 99.97800000000001  Reward: -1414.028  Higest ballance 100.00900000000001  Max_lose: -0.010000000000005116  Max_profit: 0.009000000000014552  Number of losses: 5  Number of wins: 1
Count: 12  Balance: 100.01200000000004  Reward: -1418.9879999999998  Higest ballance 100.02900000000002  Max_lose: -0.016999999999981696  Max_profit: 0.010000000000005116  Number of losses: 2  Number of wins: 4
Count: 13  Balance: 98.00199999999998  Reward: -1420.9900000000002  Higest ballance 100.007  Max_lose: -2.9989999999999952  Max_profit: 0.9989999999999952  Number of losses: 3  Number of wins: 3
